Time,Run,image name,Y position,X position,Y comand position,X comand position,Z comand position,axis_x_position_error,axis_y_position_error,axis_z_position_error, pix_Y,pix_X, pix_R, temp0, temp1, temp2,temp3
2025-05-19-11-14-24,0,122.png,5,9,-40.767775,1.624099,-3.400203,2.44141E-006,-9.76563E-006,   -0.0001,1500.0093283106953,2047.9820618964188,215.68467918213676,23.77,23.96,23.79,23.88 
2025-05-19-11-14-28,0,123.png,5,8,-41.767692,1.623955,-3.400202,-4.88281E-006,4.88281E-006,         0,1500.1970137011788,2047.916554711085,215.6825325869692,23.77,23.96,23.79,23.85 
2025-05-19-11-14-32,0,124.png,5,7,-42.767688,1.624416,-3.400201,7.32422E-006,9.76563E-006,   -0.0001,1499.8168941615775,2047.980105165289,215.6456953737007,23.77,23.95,23.79,23.83 
2025-05-19-11-14-36,0,125.png,5,6,-43.767769,1.624776,-3.400201,1.2207E-005,9.76563E-006,         0,1499.9478586787734,2048.074620268257,215.66071637088223,23.77,23.94,23.79,23.84 
2025-05-19-11-14-40,0,126.png,5,5,-44.767566,1.624715,-3.4002,-9.76563E-006,-4.88281E-006,    0.0001,1500.0701724425908,2048.0479864648355,215.6027378148725,23.77,23.94,23.79,23.84 
2025-05-19-11-14-43,0,127.png,5,4,-45.767331,1.624159,-3.400199,-4.88281E-006,-1.46484E-005,    0.0002,1500.1127187494635,2047.9973287037733,215.62439945900735,23.77,23.95,23.79,23.86 
2025-05-19-11-14-47,0,128.png,5,3,-46.767282,1.624274,-3.400199,-7.32422E-006,4.88281E-006,    0.0001,1500.0415585016922,2047.8968450187867,215.6112685888346,23.77,23.95,23.79,23.85 
2025-05-19-11-14-51,0,129.png,5,2,-47.767669,1.624807,-3.400198,2.44141E-006,         0,    0.0001,1500.07748065942,2047.9451786659436,215.61293437654157,23.77,23.95,23.79,23.86 
2025-05-19-11-14-55,0,130.png,5,1,-48.767556,1.625087,-3.400197,-1.2207E-005,-4.88281E-006,         0,1500.0559859065113,2048.0159862711835,215.59545570282253,23.77,23.97,23.79,23.84 
2025-05-19-11-14-59,0,131.png,5,0,-49.767073,1.624634,-3.400197,-4.88281E-006,4.88281E-006,    0.0001,1500.0401934273273,2047.9725712770005,215.6035895414512,23.77,23.96,23.79,23.85 
